video_id,comment
VOzbGEFy-cE,And slow down on the tollway too PLEASE!!!!
GYaW91Mw5xI,Wow rip Dina 🥺
22gTlJGkIPE,"Красавчик, чётко наваливает"
22gTlJGkIPE,Rear wheel drive. I’d park that thing for the winter. Anit worth hitting the guard rail
22gTlJGkIPE,Добаловался 😅
22gTlJGkIPE,Put the hazzards on... Awesome
22gTlJGkIPE,Driving too fast; not in control of vehicle.... I hope your insurance company sees this..
22gTlJGkIPE,Pedal to the metal...
22gTlJGkIPE,No winter tires?
22gTlJGkIPE,"Looks purposeful, having fun."
22gTlJGkIPE,I DONT THINK HE HAS HIS WINTER TIRES
22gTlJGkIPE,rear wheel drive! 😂 Good luck🤞
22gTlJGkIPE,Take your foot off the gas if you start doing this.
22gTlJGkIPE,"Beware, everything this channel posts is AI, spread this message"
22gTlJGkIPE,"This driver should not be on the roads, take his drivers license and any future to own one. If you getting out of control on a snowy road and you still pressing the gas peddle there is something wrong with you and you are a danger to the surrounding population"
22gTlJGkIPE,Let it roll dont hit the gas or brake you will get control back
22gTlJGkIPE,SLOW DOWN this is not rocked science
22gTlJGkIPE,"⚠️🎓Black Ice OWNS every single driver.🙌🏼🧩🧩
It doesn't matter what vehicle you're driving."
22gTlJGkIPE,Who on Gods green earth thought it would be a good idea to film while driving?!?!? Not a single person in the state of illinois should be allowed behind the wheel of a car.... ugh
22gTlJGkIPE,Snow Tires could have prevented this
22gTlJGkIPE,No grip...🇿🇦
22gTlJGkIPE,"They trying to drift but obviously horrible. If I started sliding like that my last reaction would be reaching over for the emergency lights. That's something you do before and after, helps prevent any extra movement so you can keep hands on wheel to focus.😮"
22gTlJGkIPE,Drift wannabe?
22gTlJGkIPE,Rear wheel drive
22gTlJGkIPE,😮😢
XsZbLlipPuo,💔😭 THIS IS MY NEPHEW WHO PULLED HIS CAR OVER TO HELP AND WAS KILLED AND WE NEED ANSWERS AND JUSTICE BECAUSE THIS MAN WAS DRUNK AND FLED THE SCENE AND HAD TO BE CHASED DOWN IF YOU CAN HELP PLEASE 🥺 PLEASE REACH OUT TO ME 🥰💔🙌🏾 JUSTICE FOR MY NEPHEW AND MY FAMILY
XsZbLlipPuo,This accident was 13% avoidable
XsZbLlipPuo,always something crazy on the south side/suburbs ..
XsZbLlipPuo,Speeding
XsZbLlipPuo,👁 MINUS TOUCH FIVES 2 SEVENS 🏆
XsZbLlipPuo,"and just like that, you’re gone. All the time stressed about work, their bank account or who’s in office never even mattered."
XsZbLlipPuo,SLOW DOWN!!!
XsZbLlipPuo,Holy smokes! How fast were the cars going to have that much damage???
OlafTBAEWvg,Is this another illegal that Biden put in the United States and gave them all a free car where they can't read or understand English
OlafTBAEWvg,"At Some Point, You Will Be the NEXT PERSON on Earth to DIE. 

Back:

Sobering thought, isn't it? You may not have realized it, but every second, two people die. What happens then? Is there a Heaven and Hell? Are you ""good enough"" to get to Heaven? Look at the Ten Commandments. Have you ever lied or stolen? (regardless of value) Ever looked with lust and therefore committed adultery in your heart? (see Matthew 5:28) You may see these as ""no big deal"" but God takes them seriously. He is Holy and said, ""be Holy, for I am Holy."" God sent His Son, Jesus, to live the perfect life we never could. He took God's wrath on the cross for sinners. Jesus took the punishment of His people’s sins against God, then He rose from the dead. Cry out to God for mercy, confessing and forsaking your sins. Put your trust in Jesus (rather than ""good works"") to save you. Read your Bible daily and obey what you read."
OlafTBAEWvg,The car might have accelerated by itself- it was a Ford.  That happened to me once when I was driving a Ford.  It caused me to get into a bad accident.
OlafTBAEWvg,"Car are machines NOT toys or video games.  Parents, teach your children the difference."
OlafTBAEWvg,Is car culture really worth all this death and CARnage just to make some filthy oil executives rich?
OlafTBAEWvg,That's one way to get out of Toon Town.
OlafTBAEWvg,Bro what the hell! DUI?!
OlafTBAEWvg,Didnt know you can simply drive through a highway barrier wall like that
OlafTBAEWvg,The driver couldn't find the highway onramp.
OlafTBAEWvg,Crashed through TRUMPS wall. Was one side Mexico?
OlafTBAEWvg,people take driving for granted
OlafTBAEWvg,Driving while stupid.  Nice of the authorities to set up a merch tent by the crash scene.
OlafTBAEWvg,Good job dummy
OlafTBAEWvg,People who drive like that are not needed .
OlafTBAEWvg,"Slow the F::K DOWN!!! GEEZ,,,"
OlafTBAEWvg,"100% DUI driver. most likely weed or something similar. ok ok 99%, i give 1% of being something else, like suicide attempt, medical condition or some issue with car (like stuck accelerator).
yea go learn to drive."
OlafTBAEWvg,Shock Master
OlafTBAEWvg,Talk about doing the Kool-Aid man!
OlafTBAEWvg,The local news in Springfield just ran a story on how many deadly crashes happen on I-55 in the state
OlafTBAEWvg,"""THEY"" drive like animals in that area!"
OlafTBAEWvg,The coyote did it again BEEP BEEP.
OlafTBAEWvg,need to work on your voice
OlafTBAEWvg,Ohhhhh well
OlafTBAEWvg,"It should be illegal how they make cars for money and not the safety of lives, they make cars out of aluminum foil when back when they started cars were made of steel…. Greed"
OlafTBAEWvg,Mmm. Darwin.
OlafTBAEWvg,The person who died could have experienced a medical event. But Im really just here for the comments to see how far our civilization has fallen.
OlafTBAEWvg,"Imagine the shock of driving passed what you think is a secure, protective barrier wall when a speeding car crashes through like a missile."
OlafTBAEWvg,"I gotta tell you. I know I sound old but I got my Driver's license in 1995. We had pagers, not cell phones, whatever my point is. I get past all the time by these kids with their faces buried in the phones. Doing well over a 100 and I'm not making that up in the IKE 355 I'm surprised there aren't more meat wagons around. I don't blame our troopers.They're the best, but you know, there's just too many psychopaths out there driving.I think if your driving 40 over and if you're caught texting and driving, I don't even know. Should be pretty severe penalty. All these kids who can't drive to Begin With. And then pritzker's like, make, and weed legal, so now they're stupid, high and reading their phones😂 Alright you can't win"
OlafTBAEWvg,Not much of a barrier wall
OlafTBAEWvg,Charger or avenger?
OlafTBAEWvg,Unfortunate death but theres absolutely no reason to be speeding like that
OlafTBAEWvg,"4-AM this happened. Probably out drinking, Blacked out, lost ( Why else Speeding so fast ) Not knowing there was a curve. Died ? Probably woke up hitting the curb at the curve. Boom ! Back to sleep Permanently."
OlafTBAEWvg,Oils like a bull 🐂 ran trew lol
OlafTBAEWvg,"What sort of dim bulb reporter wrote this story? The driver didn't ""hit a curb.""  Obviously, the driver completely ""missed the turn"" and simply plowed straight ahead into the barrier.  Could be a drunk/distracted driver.  Could be someone who passed out, fell asleep, or had some medical issue.  Could be a driver who decided that one last breakfast listening to his nagging wife made him just end it all."
OlafTBAEWvg,Not in a hurry anymore.
OlafTBAEWvg,"The  driver has not yet been identified, but here's clear video of the vehicle to incite panic on anyone who is familiar someone who drives a similar vehicle...  why? well, because you heard it here first! SMH"
OlafTBAEWvg,"Based on the picture of the 35mph speed limit sign, and considering the hole in the wall, I'm going to guess that speed (and maybe alcohol) was at play.  A car going 35-45 mph likely wouldn't punch a hole through a wall like that (especially if this is made of concrete)."
OlafTBAEWvg,One less stupid driver
OlafTBAEWvg,I left the area of the south ‘burbs back in ‘90 and it was nutty back then. I see it’s only gotten worse. Looks like the equivalent of the flyin Ryan only on  the Stevenson. I doubt this was the sort of thing Mr Adlai wanted.
OlafTBAEWvg,Took the Nestea plunge I guess.
OlafTBAEWvg,Modern Darwinism.
OlafTBAEWvg,"Very high rate of speed, I don't see brake marking? This appears to be a suicide by car."
OlafTBAEWvg,Oh okay I see what happened. Took me a while to figure it out. Looks like he was going to make a turn going really fast and his car slid off the road and into the freeway. I don't think the wall really added much to his injuries but was probably hit by a few cars or rolled.
OlafTBAEWvg,One less Democrat to vote 😂
OlafTBAEWvg,1:26 I'm just guessing that the speed limit was 15 MPH on the frontage road there through the turn.
OlafTBAEWvg,Great! An ignorant driver off the road ❤
OlafTBAEWvg,Well he won't be speeding no more now. Will he lesson talk?
OlafTBAEWvg,"Driving that fast, driver got what he deserved."
OlafTBAEWvg,He needs a parachute.
OlafTBAEWvg,Texting and driving I'm sure.
OlafTBAEWvg,Darwin Award!
OlafTBAEWvg,"Always a accident there , slow the fk down !!!!!"
OlafTBAEWvg,How fucking fast was that person driving???
OlafTBAEWvg,Check for Flux capacitor
OlafTBAEWvg,I think this may have ended exactly like the driver intended. A turn can come out of nowhere. You could see that wall coming for a mile. I doubt he/she figured on punching thru.
OlafTBAEWvg,Prayers for his family.
OlafTBAEWvg,People don’t know how to drive because they drive were popped. They smoke pot and they drive. Thanks to the governor of Illinois.
OlafTBAEWvg,Looks like drunk driving to me
OlafTBAEWvg,Nice
OlafTBAEWvg,"I thankful that the other driver was relativity unharm. IHe may be physicaly unharm, but psycologicaly I wonder),  The driver on the other hand got exactly what he deserved.  I know many of you will think that's harsh, but he had no concern about others lives so why should I care about his."
